Project,ABRSM,Standard,Length,Link
Bach - Invention 1 in C,5,Performance,90,https://www.youtube.com/watch?v=Lh-3bkEZCwc
Bach - Invention 4 in Dm,5,Performance,90,https://www.youtube.com/watch?v=OMA9KnxuoSg
Bach - Marche 127,4,Casual,130,no
Bach - Minuet in G - 114,1,Casual,90,https://www.youtube.com/watch?v=yO-sx_IoUzQ
Bach - Minuet in G - 116,3,Casual,110,no
Bach - Minuet in Gm - 115,2,Casual,80,https://www.youtube.com/watch?v=9fNanix5B24
Bach - Prelude in Cm - 934,5,Performance,155,https://www.youtube.com/watch?v=gYPky_fJ-kY
Bach - Prelude in G from Cello Suite No 1,5,Performance,150,https://www.youtube.com/watch?v=mPf9pXWkH04
C. Hartmann - The little ballerina,6,Performance,120,https://www.youtube.com/watch?v=CNL9Cibhra4
Chopin - Contredanse in Gb,6,Performance,130,https://www.youtube.com/watch?v=IyxUJuKn48s
Chopin - Waltz in Am,5,Performance,155,https://www.youtube.com/watch?v=92_jiShhN5w
Chopin - Waltz in Fm,6,Performance,120,https://www.youtube.com/watch?v=BT5BlqMKNTU
Clementi - Sonatina no 3 - Mov 1,4,Performance,150,https://www.youtube.com/watch?v=sHFxSDUR5P4
Clementi - Sonatina no 3 - Mov 2,1,Performance,60,https://www.youtube.com/watch?v=kz_xYj9YmMI
Clementi - Sonatina no 3 - Mov 3,4,Performance,125,https://www.youtube.com/watch?v=e9F4OFqknSs
Elton John - Rocket man,7,Performance,240,https://www.youtube.com/watch?v=3fhhBZyFCzM
Elton John - Your song (Arr Cornick),5,Performance,190,https://www.youtube.com/watch?v=qhf3vcjb6dE
Georg Böhm - Minuet in G,2,Casual,50,https://www.youtube.com/watch?v=fM0qSYId7FM
Haydn - Andante in A,5,Casual,170,https://www.youtube.com/watch?v=PNeUXz5UQMo
Ibert - Sérénade sur l’eau,6,Performance,105,https://www.youtube.com/watch?v=4_DyAzPXfvw
Kuhlau - Rondo Vivace,6,Casual,130,https://www.youtube.com/watch?v=xVkBpSVfV7Y
Mozart - Allegro (3rd movement) K282,6,Casual,200,no
Poulenc - Valse Tyrolienne,5,Performance,90,https://www.youtube.com/watch?v=M1AXbX0DPl0
Schumann - Kinderszenen 1,5,Casual,120,https://www.youtube.com/watch?v=wID0YkzaeQc
Schumann - Lalling Melody,1,Casual,90,no
Schumann - Melody,1,Casual,65,https://www.youtube.com/watch?v=gVrFu3CvvLw
Schumann - Remembrance,5,Performance,135,https://www.youtube.com/watch?v=Iv7L0cMpIqg
Schumann - Träumerei,7,Casual,180,https://www.youtube.com/watch?v=saHo-pDjp2A
Schumann - Volksliedchen,3,Casual,120,https://www.youtube.com/watch?v=SwBf-f7A8rM
