Project,ABRSM,Standard,Length
Bach - Invention 1 in C,5,Performance,100
Bach - Invention 4 in Dm,5,Performance,100
Bach - Minuet - G - 114,1,Average,120
Bach - Minuet in Gm - 115,1,Average,80
Bach - Prelude in Cm - 934,5,Performance,145
Bach - Prelude in G from Cello Suite No 1,5,Average,150
C. Hartmann - The little ballerina,6,Performance,120
Chopin - Contredanse in Gb,6,Performance,130
Chopin - Waltz in Am,4,Performance,150
Chopin - Waltz in Fm,6,Performance,120
Clementi - Sonatina no 3 - Mov 1,4,Performance,160
Clementi - Sonatina no 3 - Mov 2,1,Performance,60
Clementi - Sonatina no 3 - Mov 3,4,Performance,120
Elton John - Rocket man,7,Performance,240
Elton John - Your song (Arr Cornick),5,Performance,200
Georg Böhm - Minuet in G,1,Average,60
Haydn - Andante in A,5,Average,170
Ibert - Sérénade sur l’eau,6,Performance,100
Kuhlau - Rondo Vivace,6,Average,130
Mozart - Allegro (3rd movement) K282,6,Average,200
Poulenc - Valse Tyrolienne,5,Performance,100
Schumann - Kinderszenen 1,5,Average,120
Schumann - Lalling Melody,1,Average,80
Schumann - Melody,1,Average,60
Schumann - Remembrance,5,Performance,130
Schumann - Träumerei,7,Average,180
Schumann - Volksliedchen,2,Average,110
